,Trial#,Optimal,Obj_PartWeight,Obj_Warp-ThickWall,Obj_Warp-ThinWall,Obj_WMAPE,Sugg-rDiffPSP-P-P2,Sugg-rDiffPSP-P-P3,Sugg-rDiffPSP-P-P4,Sugg-rDiffPSP-P-P5,Sugg-rDiffPSP-P-t1,Sugg-rDiffPSP-P-t2,Sugg-rDiffPSP-P-t3,Sugg-rDiffPSP-P-t4,Sugg-rDiffPSP-P-t5,Sugg-rDiffPSP-P-t6,Sugg-rDiffPSP-T-T1,Sugg-rDiffPSP-T-T2,Sugg-rDiffPSP-T-t1,Sugg-rDiffPSP-T-t2,Sugg-rDiffPSP-T-t3,Pred_PartWeight (g),Pred_Warp-ThickWall (mm),Pred_Warp-ThinWall (mm),Opt_ClntTemp,Opt_InjSpd,Opt_PackPres,Opt_PackTime,Feas-DiffPSP-P-t1,Feas-DiffPSP-P-t2,Feas-DiffPSP-P-t3,Feas-DiffPSP-P-t4,Feas-DiffPSP-P-t5,Feas-DiffPSP-P-t6,Feas-DiffPSP-P-P1,Feas-DiffPSP-P-P2,Feas-DiffPSP-P-P3,Feas-DiffPSP-P-P4,Feas-DiffPSP-P-P5,Feas-DiffPSP-P-P6,Feas-DiffPSP-T-t1,Feas-DiffPSP-T-t2,Feas-DiffPSP-T-t3,Feas-DiffPSP-T-T1,Feas-DiffPSP-T-T2,Feas-DiffPSP-T-T3
0,0,False,0.006948830424875453,0.02358387623514448,0.003428876183923201,0.0949311226140938,0.053003089277011674,0.2672268063362956,0.07339925885638596,-0.036036214057625846,0.0053658758275979546,0.01907172624784663,0.004674341597692152,0.004784260775978811,0.042232456580411123,0.054278652680242824,0.2430304801442677,0.053572336970953253,0.02720429951911456,0.005986180084319603,0.15155282035061818,37.28768,-1.7169062,0.331058,0.5794356377808307,0.5243736162329279,0.45468724737395744,0.04812010413467218,0.0038519371,0.016038463,0.0041583185,0.004249692,0.042051632,0.05728752,0.0026404234,0.052570093,0.24271922,0.022792479,-0.029504865,-0.28754377,0.022404466,0.0061606877,0.152293,0.23725086,0.056090415,-0.036394693
1,1,False,0.0304011100732186,0.021131371076290425,0.004768865766579595,0.17063880629316963,0.05726201637394129,0.18653479417138819,0.061530473531373815,-0.0451315676971854,0.005058086522651934,0.012739766630031492,0.005312830468201763,0.006261659412833701,0.06003715514566919,0.07176515626623409,0.19800663082992426,0.05852629662039029,0.0256525250597666,0.005429286045345021,0.16599009039688817,38.258606,-1.5383638,0.460434,0.5257313338577482,0.6061107507272734,0.4810741270486304,0.06592966135437071,0.004539052,0.012275496,0.0036578444,0.004402984,0.05998577,0.06508805,0.0038811946,0.053768944,0.26446843,0.023019053,-0.029001037,-0.3110602,0.019028652,0.0066848584,0.14409047,0.21802518,0.058917075,-0.039284043
2,2,False,0.01135674075803895,0.03012162315976489,0.005400899406049858,0.1245030422284672,0.05505861447840997,0.215686857192524,0.07210859943787326,-0.025801684218707086,0.005176370667688385,0.0196096857972405,0.00426708398607783,0.00493341556321485,0.02608284174216506,0.0527935056829942,0.14652892357438368,0.06216082169900133,0.02278607970375483,0.005853488997675976,0.15652030907483788,37.47017,-2.1928542,-0.52145684,0.4279554267877003,0.41623849306874916,0.44574628579994174,0.033965793843315974,0.005222345,0.020543512,0.0043377955,0.0036138222,0.025798487,0.04855577,0.0012543285,0.05627267,0.23285182,0.019938495,-0.027903052,-0.27844357,0.026081497,0.0052736104,0.14300515,0.18142903,0.059865512,-0.037835337
3,3,True,0.00352076286279061,0.02631019759964157,0.0008205788577547474,0.07881337693528748,0.053015036681271374,0.2853421472075962,0.01755828068924948,-0.04202386596548205,0.005447092027975333,0.014472373974383258,0.0033581302172023264,0.0033310474561038285,0.039841355909627146,0.05030033749413412,0.19181338090112335,0.05607204610117719,0.02076005170584863,0.006165599631779329,0.13948728770874153,37.14576,-1.9153824,-0.07922689,0.4909013239321972,0.5138072597817006,0.49994848716890666,0.04856627922889499,0.0052286703,0.015712824,0.004243296,0.0048446804,0.03941664,0.061874613,0.0029891254,0.055535898,0.27878135,0.022960655,-0.027090522,-0.328609,0.021766901,0.007209733,0.14378382,0.20383285,0.059682284,-0.039334513
4,4,False,0.007530894256444369,0.034269241841284784,0.012300694809868692,0.13874922000088946,0.057519205579749266,0.11820377936542834,0.06525155500837651,-0.045892215345996065,0.005105980019678374,0.013561194986112544,0.00482313632670326,0.0022084937350814807,0.03317478941107708,0.03971188753227134,0.20726203372061164,0.0632059890096197,0.029092695963431198,0.005899161291317942,0.16722029055203885,37.31178,-2.4948008,-1.1876321,0.5189476589250649,0.5143259081221065,0.35205517399031083,0.03942161559694307,0.005260216,0.01686362,0.003884127,0.0042792866,0.03300251,0.03510803,0.0018352708,0.052384965,0.15464915,0.024131056,-0.035854794,-0.19214419,0.02240352,0.0046746098,0.151496,0.21481965,0.05731003,-0.03639236
5,5,False,0.004002115000849185,0.0344854331278539,0.009660002853140691,0.13043051942052114,0.05272835473869375,0.11202403015768554,0.055823544846633,-0.029753743761968342,0.005026125534772808,0.01513224094172345,0.0033338809995353312,0.0032088892030549127,0.030069254240590006,0.03704511446775985,0.20403936935991987,0.06594563690115528,0.021823980364442896,0.0059780234913349335,0.1333788278923879,36.834312,-2.5105395,-0.9326733,0.46743760645205895,0.4758346786237897,0.33017775418889495,0.03725183016402904,0.0054774936,0.01811755,0.0040747686,0.0042685727,0.030759703,0.029079076,0.0016065547,0.052166432,0.13520867,0.024391454,-0.036339972,-0.17198306,0.023623649,0.0049856007,0.14802107,0.19546832,0.05854355,-0.037365526
6,6,False,0.005800182692670592,0.033305470760052025,0.012189186279913233,0.08848468612849769,0.05475727636695646,0.10376531593103756,0.06466795387558232,-0.04902737807771627,0.005212379542003246,0.018636406463215703,0.0033661067694294865,0.005870072449049108,0.03687742488679553,0.02996105688648621,0.24711101356447202,0.0561344352189321,0.026039901456552047,0.00561223188984959,0.1579602177183111,36.759872,-2.4246383,-1.1768659,0.5845124276997224,0.5162016201362275,0.3120159715064893,0.04453902096313049,0.0063452926,0.014863934,0.004421147,0.00514206,0.038152054,0.029217403,0.0038445732,0.050080717,0.12258622,0.026279528,-0.038998473,-0.15651879,0.022390248,0.005519055,0.16063778,0.24097346,0.055076852,-0.0353339
7,7,False,0.01641711175153797,0.023481261271696825,0.008292152497633822,0.13202298128219345,0.05781857254116376,0.23116639027376112,0.030221536176067928,-0.021274794366219003,0.005384105038180001,0.01794971594676515,0.004589587689126764,0.0027461851551264715,0.06333743666755846,0.04383225328084514,0.2381393055680331,0.06253226679689196,0.023164279864819018,0.006494925894586296,0.15205990573414943,37.67967,-1.7094358,0.8006073,0.4030305905474126,0.5061817083169037,0.4237433544377615,0.06659658630783895,0.005816372,0.016938794,0.0038417452,0.0032337997,0.060233667,0.053400353,0.002446224,0.055335604,0.21615466,0.017985169,-0.028203823,-0.25822312,0.022402626,0.0048569515,0.13899729,0.17401062,0.061659627,-0.03909054
8,8,False,0.010195377368282006,0.02815592747468215,0.003050017208709796,0.13209889112041048,0.048074851504848554,0.15654824921306487,0.05373029179177411,-0.03923863930521207,0.005483502948645124,0.017123178026824087,0.005655784727783719,0.005411938279134832,0.04224044429921052,0.05220266136252856,0.1730757486589759,0.06076525675437401,0.02542860121757099,0.005841553175781153,0.13497094778017257,37.42209,-2.0497515,-0.29447916,0.46251317759251087,0.5024838135195718,0.36301389593451305,0.04985870546403507,0.0053526405,0.017479038,0.003843918,0.003776879,0.04305617,0.038823828,0.0016828245,0.053079363,0.16426067,0.021754809,-0.033530697,-0.20244,0.02274499,0.0047322735,0.14591072,0.1943338,0.05910419,-0.037443206
9,9,False,0.022883207901664402,0.02907091117167211,0.0027928754864795908,0.15842745858049337,0.05217826501830069,0.1817313755848574,0.0687498680485696,-0.021535609266227957,0.005393915317489185,0.01778829723623716,0.0048144453180153715,0.005463321038889908,0.042542139395718784,0.06745183081046843,0.2194612650330815,0.06694833174920596,0.02630641572346855,0.005366992292552871,0.16502461523169978,37.947365,-2.1163623,0.26965213,0.5483162314483218,0.5151188000261027,0.49921960070222426,0.050434463965450094,0.0043763835,0.015451386,0.0043812883,0.004890118,0.042443447,0.06382908,0.0032221703,0.053751357,0.27918294,0.023636354,-0.027185155,-0.3287108,0.02192279,0.0076203905,0.14792112,0.22473155,0.05777856,-0.038388196
